epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,766.364,1.18026,2.86445,1.28987,0.79587,0.77925,0.82961,0.59788,1.77509,5.68297,1.46667,0.000208293,0.000208293,0.000208293
2,1515.96,1.20703,2.92535,1.29846,0.80528,0.79076,0.8502,0.60339,1.78721,5.58484,1.45957,0.000341634,0.000341634,0.000341634
3,2261.88,1.20806,2.90927,1.29487,0.81729,0.79481,0.85691,0.61403,1.78596,5.2369,1.47721,0.000399974,0.000399974,0.000399974
4,3006.37,1.17474,2.82889,1.28404,0.79313,0.78105,0.83168,0.58708,1.85318,5.84092,1.52505,0.0002875,0.0002875,0.0002875
5,3749.18,1.13561,2.75045,1.26834,0.80606,0.78838,0.84287,0.60669,1.79666,5.69693,1.47743,0.000175,0.000175,0.000175
