epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17590.3,1.84423,2.09535,2.20292,0.78712,0.74811,0.809,0.55803,1.79359,2.01025,2.20577,0.007228,0.007228,0.007228
44,17997.1,1.82569,2.0812,2.18928,0.78235,0.76092,0.81464,0.54691,1.85787,2.00884,2.24392,0.007162,0.007162,0.007162
45,18403.4,1.82951,2.08715,2.18817,0.77457,0.7492,0.79974,0.54392,1.81923,2.04893,2.227,0.007096,0.007096,0.007096
46,18809.3,1.8163,2.07204,2.1805,0.77559,0.74901,0.80436,0.54543,1.82464,2.02785,2.23193,0.00703,0.00703,0.00703
47,19215.3,1.82686,2.06734,2.1797,0.78249,0.76153,0.82004,0.55931,1.82401,1.93892,2.2209,0.006964,0.006964,0.006964
48,19620.1,1.81699,2.06183,2.18549,0.77736,0.75642,0.80533,0.54525,1.82486,2.0209,2.22764,0.006898,0.006898,0.006898
49,20026.6,1.81396,2.05356,2.17142,0.78629,0.76624,0.82134,0.56136,1.81114,1.94504,2.21013,0.006832,0.006832,0.006832
50,20433.4,1.80042,2.05012,2.17192,0.78613,0.76209,0.81659,0.5567,1.8132,1.97774,2.21281,0.006766,0.006766,0.006766
51,20838.6,1.8062,2.04445,2.17602,0.78837,0.76542,0.8215,0.55747,1.83468,1.97289,2.22604,0.0067,0.0067,0.0067
52,21244.1,1.80136,2.04662,2.16261,0.78629,0.75968,0.81529,0.56215,1.78884,1.97465,2.19191,0.006634,0.006634,0.006634
53,21650.5,1.79772,2.05003,2.17122,0.78001,0.75742,0.81188,0.55602,1.8093,1.98807,2.2201,0.006568,0.006568,0.006568
54,22057.4,1.79212,2.03938,2.15987,0.77565,0.74851,0.80074,0.54802,1.81303,2.05389,2.21939,0.006502,0.006502,0.006502
55,22463.3,1.78088,2.01442,2.14911,0.78524,0.7598,0.8131,0.55874,1.79169,1.99148,2.1952,0.006436,0.006436,0.006436
56,22870.6,1.78344,2.02609,2.15625,0.78831,0.76314,0.81553,0.56088,1.79586,1.99385,2.19153,0.00637,0.00637,0.00637
57,23277.2,1.77529,2.01482,2.1561,0.79856,0.76615,0.82496,0.56174,1.82295,1.94949,2.21745,0.006304,0.006304,0.006304
58,23683.6,1.77805,2.0107,2.15086,0.79137,0.76431,0.82044,0.5617,1.81294,1.96444,2.20493,0.006238,0.006238,0.006238
59,24092.1,1.76547,1.99383,2.14751,0.78196,0.76636,0.82088,0.56163,1.82123,1.9565,2.2088,0.006172,0.006172,0.006172
60,24497.5,1.76193,1.99188,2.14389,0.78541,0.76836,0.8223,0.56163,1.83711,1.95146,2.21615,0.006106,0.006106,0.006106
61,24902.9,1.76119,2.00335,2.143,0.79384,0.76074,0.81803,0.55947,1.82814,1.98078,2.21793,0.00604,0.00604,0.00604
62,25307.9,1.75834,1.99723,2.13812,0.79414,0.76412,0.82313,0.56583,1.81324,1.94606,2.20502,0.005974,0.005974,0.005974
63,25716.1,1.75977,1.9921,2.1363,0.79828,0.76815,0.82635,0.56178,1.84431,1.92816,2.21982,0.005908,0.005908,0.005908
64,26122.9,1.75648,1.98052,2.13416,0.79783,0.766,0.8204,0.55766,1.85799,1.95281,2.22518,0.005842,0.005842,0.005842
65,26528.5,1.74684,1.96995,2.12988,0.80582,0.76544,0.82717,0.56405,1.85404,1.93325,2.22179,0.005776,0.005776,0.005776
66,26934.6,1.74244,1.9595,2.12747,0.79992,0.77322,0.83051,0.56921,1.84352,1.9124,2.21464,0.00571,0.00571,0.00571
67,27342.1,1.74076,1.95979,2.1238,0.7934,0.77052,0.82458,0.57157,1.80805,1.91239,2.18518,0.005644,0.005644,0.005644
68,27749.5,1.73996,1.96083,2.12308,0.79466,0.77028,0.82708,0.57324,1.81878,1.89632,2.19224,0.005578,0.005578,0.005578
69,28156,1.7404,1.96143,2.12572,0.79708,0.7708,0.82968,0.57339,1.81848,1.89112,2.18364,0.005512,0.005512,0.005512
70,28562,1.729,1.94839,2.12023,0.7881,0.77717,0.82468,0.56898,1.82755,1.91369,2.18715,0.005446,0.005446,0.005446
71,28968.6,1.73078,1.94933,2.11192,0.79976,0.77646,0.82976,0.57613,1.81401,1.88157,2.18014,0.00538,0.00538,0.00538
72,29374.9,1.72316,1.93725,2.11252,0.80036,0.77634,0.83159,0.57592,1.82068,1.87774,2.18052,0.005314,0.005314,0.005314
73,29777.2,1.71691,1.92319,2.11402,0.79904,0.76941,0.82658,0.57131,1.83291,1.89228,2.18606,0.005248,0.005248,0.005248
74,30181.6,1.72273,1.94288,2.11637,0.79518,0.77557,0.82822,0.56964,1.84684,1.87749,2.198,0.005182,0.005182,0.005182
75,30586.3,1.71659,1.9306,2.10946,0.80258,0.77287,0.83412,0.57606,1.8378,1.84634,2.18897,0.005116,0.005116,0.005116
76,30991.5,1.71351,1.9126,2.10571,0.80377,0.77554,0.83571,0.57952,1.82409,1.83925,2.17822,0.00505,0.00505,0.00505
77,31395.4,1.71286,1.92778,2.1025,0.80487,0.77323,0.83456,0.58003,1.81305,1.84374,2.16587,0.004984,0.004984,0.004984
78,31801.1,1.7123,1.90762,2.09692,0.80505,0.77761,0.83914,0.5812,1.82261,1.83398,2.17117,0.004918,0.004918,0.004918
