epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.742,1.29439,3.51081,1.27635,0.77854,0.75336,0.80104,0.56834,1.81585,6.11445,1.45329,0.000208253,0.000208253,0.000208253
2,947.639,1.3224,3.58972,1.2871,0.77594,0.75135,0.80042,0.55259,1.8611,6.44766,1.4873,0.000369721,0.000369721,0.000369721
3,1416.4,1.34157,3.57547,1.29693,0.75396,0.739,0.77056,0.54691,1.81514,6.74943,1.46817,0.000484313,0.000484313,0.000484313
4,1885.42,1.32197,3.52019,1.29071,0.78334,0.76481,0.82085,0.5871,1.80552,5.7964,1.45387,0.000414062,0.000414062,0.000414062
5,2353.4,1.30173,3.51024,1.28209,0.76694,0.76527,0.81026,0.56714,1.86338,6.09435,1.46765,0.00034375,0.00034375,0.00034375
6,2820.5,1.27883,3.45187,1.27364,0.79977,0.77996,0.83318,0.58033,1.85414,5.86386,1.4772,0.000273438,0.000273438,0.000273438
7,3287.91,1.25573,3.39821,1.26427,0.79358,0.7749,0.82505,0.58511,1.79631,5.97397,1.44298,0.000203125,0.000203125,0.000203125
8,3754.66,1.22496,3.33297,1.25527,0.78994,0.78224,0.82428,0.59307,1.73998,5.91308,1.42324,0.000132813,0.000132813,0.000132813
